label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location
C,4512,116,56032,0,1,0,1,1,0,1
S,17323,17,80369,0,8,4,1,0,0,1
S,2157,1176,235184,1,5,0,1,0,0,1
C,5862,1995,62485,1,2,2,2,1,0,0
C,2510,589,100611,1,0,0,1,1,0,1
S,10930,465,780,1,42,0,1,1,0,1
S,5227,1016,49627,1,23,0,1,0,0,1
S,2978,676,245401,1,23,0,1,0,0,0
S,1793,1717,75324,1,23,0,1,0,0,1
S,1791,1,4722,1,23,0,1,0,0,1
C,20751,484,48351,0,6,4,1,1,0,0
S,2078324,100,76742,0,23,14,1,0,1,1
S,33099,115,50662,0,1,1,1,0,0,1
S,1591,1266,90000,1,2,0,1,0,0,0
S,1548,1713,67588,1,1,0,1,0,0,1
S,10149,247,76633,0,2,1,1,0,0,1
S,3112,141,3778,1,0,0,1,0,0,1
S,22129,831,109642,0,0,0,1,0,1,1
S,8002,219,27676,0,0,0,1,0,0,1
S,1372091,151,101888,0,8,7,1,0,0,1
S,227969,31,75402,0,3,1,1,0,0,0
S,3112,141,3778,0,0,0,1,0,0,1
S,10149,247,76633,1,0,0,1,0,0,1
S,6084,2054,211829,2,27,0,1,0,0,1
S,11071,5442,103355,2,27,0,1,0,0,1
S,2105,37,26750,1,3,0,1,0,0,0
S,8002,219,27676,0,1,0,1,0,0,1
S,22129,831,109642,0,1,0,1,0,1,1
S,1620,905,28599,2,27,0,1,0,0,0
S,4012193,469,173286,2,27,0,1,0,1,1
S,1355015,563,298794,0,5,1,1,0,1,1
S,1772,1200,30273,1,6,0,1,0,0,1
S,1076,197,34234,1,6,0,1,0,0,0
S,1355015,563,298794,0,4,3,1,0,1,1
S,5899,596,23415,1,3,2,1,1,0,1
C,1546,1983,74649,1,14,0,1,1,0,1
C,5218,1687,48217,1,14,0,1,1,0,1
C,9319,5067,133435,1,14,0,1,1,0,1
C,11598,11651,26220,1,14,0,1,1,0,1
C,6084,2054,211829,1,14,0,1,1,0,1
S,1523,1228,29696,1,3,0,2,0,0,0
S,1306,379,6575,0,3,0,2,0,0,1
C,611970,30,139975,0,14,5,1,1,1,0
C,2335,2112,47063,0,1,1,1,1,0,1
S,2774,208,8926,0,1,0,1,1,0,1
C,1378,1566,25630,1,9,0,1,1,0,1
C,1545,190,130797,1,9,0,1,1,0,1
C,31132,368,20783,0,9,2,1,1,1,1
C,3362,554,58350,1,4,0,1,1,0,1
C,31132,368,20783,0,4,0,1,1,1,1
C,227969,31,75402,0,2,2,1,1,0,0
C,1372092,151,101888,0,6,7,1,1,0,1
C,6274,80,1910,0,1,0,1,1,0,1
S,1108,2000,17774,1,226,0,1,0,0,1
C,2510,589,100611,0,0,0,1,1,0,1
C,2510,589,100611,0,0,0,1,1,0,1
C,8287,508,19009,1,0,0,1,1,0,1
C,2232,1897,15172,0,0,0,2,1,0,1
C,58242,25,86460,0,5,3,1,1,0,1
C,10930,465,780,2,404,0,1,1,0,1
N,1551,1861,9143,0,3,3,1,0,0,1
C,1032,121,3891,1,2,0,2,1,0,1
C,227969,31,75402,0,2,0,2,1,0,0
C,1372092,151,101888,0,4,5,2,1,0,1
C,6274,80,1910,0,0,1,2,1,0,1
C,1153,664,136391,1,42,0,1,1,0,0
C,6274,80,1910,0,0,0,2,1,0,1
C,227969,31,75402,0,1,0,2,1,0,0
C,1372092,151,101888,0,0,2,2,1,0,1
S,1241,689,26617,1,4,0,1,1,0,0
S,1405,653,39875,1,13,0,1,0,0,0
C,1561,290,227,2,0,0,1,0,0,1
S,6917,3383,52447,1,84,0,1,0,0,1
S,5814,950,111235,1,84,0,1,0,0,0
C,2230,701,130191,1,3,0,1,1,0,1
N,3314,1442,130667,3,1,1,1,0,0,1
C,2982,2559,65275,1,4,0,1,1,0,1
C,1656,680,90576,1,4,0,1,1,0,0
C,2510,589,100611,0,4,1,1,1,0,1
S,1354,1651,56819,1,13,0,1,0,0,0
C,2067,843,57638,1,0,0,1,1,0,1
S,2230,701,130191,2,162,0,1,0,0,1
C,27087,12976,22962,0,10,4,1,1,0,1
S,2510,589,100611,0,2,1,1,0,0,1
C,1325,534,5439,0,1,1,3,1,0,1
S,1142,358,6633,3,28,0,1,0,0,1
S,1091,215,53551,1,0,0,1,1,0,1
S,4322,3760,48033,3,28,0,1,0,0,0
S,1153,664,136391,1,4,0,1,0,0,0
S,4637,753,23541,3,28,0,1,0,0,1
S,1153,664,136391,1,10,0,1,0,0,0
S,15503,400,75669,3,28,0,1,0,0,0
S,1589,662,6527,1,5,0,1,0,0,1
S,1589,662,6527,1,8,0,1,0,0,1
C,2757,1989,49782,0,1,0,1,1,0,1
S,1928,2081,18792,3,3,0,1,0,0,1
S,1314,12,91725,1,0,1,1,0,0,1
S,4720,2210,27847,3,28,0,1,0,0,1
N,5035,1164,28041,1,0,1,1,0,0,0
C,2757,1989,49782,0,0,0,1,0,0,1
S,4747,1762,51533,3,3,0,1,0,0,1
S,2958,2753,94118,1,8,0,1,0,0,1
S,1355015,563,298794,0,5,4,1,0,1,1
S,1355015,563,298794,0,4,5,1,0,1,1
