label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,St_Fo_Ratio
C,6084,2054,211829,1,14,0,1,1,0,1,0.337606838,34.81738988
S,1523,1228,29696,1,3,0,2,0,0,0,0.806303349,19.4983585
S,1306,379,6575,0,3,0,2,0,0,1,0.290199081,5.034456355
C,611970,30,139975,0,14,5,1,1,1,0,4.90E-05,0.228728532
C,2335,2112,47063,0,1,1,1,1,0,1,0.904496788,20.15546039
S,2774,208,8926,0,1,0,1,1,0,1,0.074981975,3.217736121
C,1378,1566,25630,1,9,0,1,1,0,1,1.136429608,18.59941945
C,1545,190,130797,1,9,0,1,1,0,1,0.122977346,84.65825243
C,31132,368,20783,0,9,2,1,1,1,1,0.011820635,0.66757677
C,3362,554,58350,1,4,0,1,1,0,1,0.164782867,17.35574063
C,31132,368,20783,0,4,0,1,1,1,1,0.011820635,0.66757677
C,227969,31,75402,0,2,2,1,1,0,0,0.000135983,0.330755497
C,1372092,151,101888,0,6,7,1,1,0,1,0.000110051,0.074257411
C,6274,80,1910,0,1,0,1,1,0,1,0.012751036,0.304430985
S,1108,2000,17774,1,226,0,1,0,0,1,1.805054152,16.04151625
C,2510,589,100611,0,0,0,1,1,0,1,0.234661355,40.08406375
C,2510,589,100611,0,0,0,1,1,0,1,0.234661355,40.08406375
C,8287,508,19009,1,0,0,1,1,0,1,0.061300833,2.293833715
C,2232,1897,15172,0,0,0,2,1,0,1,0.849910394,6.797491039
C,58242,25,86460,0,5,3,1,1,0,1,0.000429244,1.484495725
C,10930,465,780,2,404,0,1,1,0,1,0.042543458,0.07136322
N,1551,1861,9143,0,3,3,1,0,0,1,1.199871051,5.894906512
C,1032,121,3891,1,2,0,2,1,0,1,0.117248062,3.770348837
C,227969,31,75402,0,2,0,2,1,0,0,0.000135983,0.330755497
C,1372092,151,101888,0,4,5,2,1,0,1,0.000110051,0.074257411
C,6274,80,1910,0,0,1,2,1,0,1,0.012751036,0.304430985
C,1153,664,136391,1,42,0,1,1,0,0,0.575888985,118.292281
C,6274,80,1910,0,0,0,2,1,0,1,0.012751036,0.304430985
C,227969,31,75402,0,1,0,2,1,0,0,0.000135983,0.330755497
C,1372092,151,101888,0,0,2,2,1,0,1,0.000110051,0.074257411
S,1241,689,26617,1,4,0,1,1,0,0,0.555197421,21.44802579
S,1405,653,39875,1,13,0,1,0,0,0,0.464768683,28.38078292
C,1561,290,227,2,0,0,1,0,0,1,0.185778347,0.145419603
S,6917,3383,52447,1,84,0,1,0,0,1,0.489084863,7.582333382
S,5814,950,111235,1,84,0,1,0,0,0,0.163398693,19.13226694
C,2230,701,130191,1,3,0,1,1,0,1,0.314349776,58.38161435
N,3314,1442,130667,3,1,1,1,0,0,1,0.435123718,39.42878696
C,2982,2559,65275,1,4,0,1,1,0,1,0.858148893,21.88967136
C,1656,680,90576,1,4,0,1,1,0,0,0.410628019,54.69565217
C,2510,589,100611,0,4,1,1,1,0,1,0.234661355,40.08406375
S,1354,1651,56819,1,13,0,1,0,0,0,1.219350074,41.96381093
C,2067,843,57638,1,0,0,1,1,0,1,0.407837446,27.88485728
S,2230,701,130191,2,162,0,1,0,0,1,0.314349776,58.38161435
C,27087,12976,22962,0,10,4,1,1,0,1,0.47904899,0.847712925
S,2510,589,100611,0,2,1,1,0,0,1,0.234661355,40.08406375
C,1325,534,5439,0,1,1,3,1,0,1,0.403018868,4.10490566
S,1142,358,6633,3,28,0,1,0,0,1,0.313485114,5.808231173
S,1091,215,53551,1,0,0,1,1,0,1,0.197066911,49.08432631
S,4322,3760,48033,3,28,0,1,0,0,0,0.869967608,11.11360481
S,1153,664,136391,1,4,0,1,0,0,0,0.575888985,118.292281
S,4637,753,23541,3,28,0,1,0,0,1,0.162389476,5.076773776
S,1153,664,136391,1,10,0,1,0,0,0,0.575888985,118.292281
S,15503,400,75669,3,28,0,1,0,0,0,0.025801458,4.880926272
S,1589,662,6527,1,5,0,1,0,0,1,0.416614223,4.107614852
S,1589,662,6527,1,8,0,1,0,0,1,0.416614223,4.107614852
C,2757,1989,49782,0,1,0,1,1,0,1,0.721436344,18.05658324
S,1928,2081,18792,3,3,0,1,0,0,1,1.079356846,9.746887967
S,1314,12,91725,1,0,1,1,0,0,1,0.00913242,69.80593607
S,4720,2210,27847,3,28,0,1,0,0,1,0.468220339,5.899788136
N,5035,1164,28041,1,0,1,1,0,0,0,0.231181728,5.569215492
C,2757,1989,49782,0,0,0,1,0,0,1,0.721436344,18.05658324
S,4747,1762,51533,3,3,0,1,0,0,1,0.371181799,10.855909
S,2958,2753,94118,1,8,0,1,0,0,1,0.930696416,31.81812035
S,1355015,563,298794,0,5,4,1,0,1,1,0.000415494,0.220509736
S,1355015,563,298794,0,4,5,1,0,1,1,0.000415494,0.220509736
C,2994,49,44957,3,41,0,1,1,0,1,0.016366065,15.01569806
S,2289,2024,40053,2,3,2,1,0,0,1,0.884228921,17.49803408
S,1355015,563,298794,0,8,5,1,0,1,1,0.000415494,0.220509736
S,2715,887,224075,1,84,0,1,0,0,0,0.326703499,82.53222836
S,8279,154,1181,2,2,0,1,1,0,1,0.01860128,0.142650079
S,1314,12,91725,0,0,0,2,0,0,1,0.00913242,69.80593607
N,2616,310,52557,1,1,0,1,1,0,0,0.118501529,20.09059633
S,8752,2352,164226,1,45,0,1,0,0,1,0.268738574,18.76439671
N,5878,4004,83516,1,17,0,1,0,0,0,0.681184076,14.20823409
S,8069,349,104691,0,27,14,1,1,0,1,0.043251952,12.97447019
S,516406,16,66216,0,3,1,2,0,1,1,3.10E-05,0.128224691
S,14504,12433,98099,2,2,1,1,1,0,1,0.857211804,6.76358246
S,1673,134,91457,1,9,0,1,0,0,1,0.080095637,54.66646742
S,18862,531,170173,1,9,0,1,0,0,1,0.02815184,9.022001909
S,3757,189,98516,1,9,0,1,0,0,1,0.050306095,26.22198563
S,6525,89,49723,1,9,0,1,0,1,1,0.013639847,7.620383142
S,10149,247,76633,0,9,1,1,0,0,1,0.024337373,7.550793182
S,13330,67,10754,1,338,0,1,0,0,1,0.005026257,0.806751688
N,1551,1861,9143,0,3,1,1,0,0,1,1.199871051,5.894906512
S,7307,457,85658,1,8,0,1,0,0,0,0.062542767,11.72273163
C,33685,206,38626,0,0,0,3,0,0,1,0.006115482,1.1466825
N,1551,1861,9143,0,2,1,1,0,0,1,1.199871051,5.894906512
N,1551,1861,9143,0,1,2,1,0,0,1,1.199871051,5.894906512
S,59965,119,195209,0,1,0,2,0,1,1,0.001984491,3.255382306
C,10149,247,76633,0,1,0,1,1,0,1,0.024337373,7.550793182
C,22082,98,230515,0,6,3,1,1,0,1,0.004438004,10.43904538
C,1631,294,74332,1,6,0,1,1,0,0,0.180257511,45.57449418
N,2510,589,100611,0,0,0,2,0,0,1,0.234661355,40.08406375
S,2992,1355,78531,1,338,0,1,0,0,1,0.452874332,26.24699198
S,31132,368,20783,0,23,5,1,1,1,1,0.011820635,0.66757677
C,1339062,209,206951,0,2,2,1,1,1,1,0.000156079,0.154549229
C,3539,60,1745,0,0,0,1,1,0,0,0.016953942,0.49307714
S,3716,2531,17790,1,3,0,2,0,0,1,0.681108719,4.787405813
N,1662,1606,4469,0,0,1,2,0,0,1,0.966305656,2.688929001
N,1662,1606,4469,1,1,0,1,0,0,1,0.966305656,2.688929001
N,1295,1771,20850,1,49,0,1,0,0,1,1.367567568,16.1003861
N,2052,198,19284,1,0,1,1,0,0,1,0.096491228,9.397660819
N,92683,738,2285,0,58,25,1,0,1,1,0.007962625,0.024653928
N,5976,4017,84128,1,7,0,1,0,0,0,0.672188755,14.07764391
N,1712,227,13551,0,1,1,1,0,0,1,0.132593458,7.915303738
N,3745,1405,79450,1,89,0,2,0,0,1,0.375166889,21.21495327
N,11500,1269,42933,1,5,27,2,0,0,1,0.110347826,3.733304348
N,11719,56,12131,1,30,0,1,0,0,1,0.004778565,1.035156583
N,28557,17769,24596,0,168,4,1,1,0,1,0.622229226,0.861294954
N,3740,640,52205,0,30,14,1,0,0,1,0.171122995,13.95855615
N,42024,1120,287055,1,22,0,1,0,0,0,0.026651437,6.830739577
N,22063,702,122581,0,1,0,1,1,0,1,0.031817976,5.555953406
N,18986,531,170870,3,73,0,1,0,0,1,0.027967976,8.999789318
N,3215,7,79719,0,2,0,1,1,0,1,0.002177294,24.79595645
N,2876,461,68221,0,6,0,1,0,0,1,0.160292072,23.72079277
N,10178,248,76881,0,9,1,1,0,0,1,0.02436628,7.553645117
N,5079,5011,82911,0,3,0,7,0,0,1,0.986611538,16.32427643
