C,1,-0.3781,-0.3506,1,1,0,1,-0.0828,-0.6804
S,1,0.4068,-0.3506,1,1,0,1,-0.6219,-0.6892
S,1,0.0517,-0.3506,1,0,0,1,-0.1958,-0.6823
S,1,0.0517,-0.3506,1,0,0,0,-0.1043,-0.6808
S,1,0.0517,-0.3506,1,0,0,1,1.9461,-0.6474
S,1,0.0517,-0.3506,1,0,0,1,-0.7397,-0.6911
C,0,-0.266,0.6172,1,1,0,0,-0.6758,-0.6901
S,0,0.0517,3.037,1,0,1,1,-0.7411,-0.6912
S,0,-0.3594,-0.1087,1,0,0,1,-0.7315,-0.691
S,1,-0.3407,-0.3506,1,0,0,0,1.4918,-0.6548
S,1,-0.3594,-0.3506,1,0,0,1,2.3641,-0.6406
S,0,-0.3407,-0.1087,1,0,0,1,-0.673,-0.6901
S,1,-0.3781,-0.3506,1,0,0,1,-0.6141,-0.6891
S,0,-0.3781,-0.3506,1,0,1,1,-0.6359,-0.6894
S,0,-0.3781,-0.3506,1,0,0,1,-0.6645,-0.6899
S,0,-0.2286,1.3432,1,0,0,1,-0.741,-0.6912
S,0,-0.322,-0.1087,1,0,0,0,-0.7409,-0.6912
S,0,-0.3781,-0.3506,1,0,0,1,-0.6141,-0.6891
S,1,-0.3781,-0.3506,1,0,0,1,-0.673,-0.6901
S,2,0.1265,-0.3506,1,0,0,1,0.2061,-0.6757
S,2,0.1265,-0.3506,1,0,0,1,0.6382,-0.6687
S,1,-0.322,-0.3506,1,0,0,0,-0.692,-0.6904
S,0,-0.3594,-0.3506,1,0,0,1,-0.6645,-0.6899
S,0,-0.3594,-0.3506,1,0,1,1,-0.6359,-0.6894
S,2,0.1265,-0.3506,1,0,0,0,0.8264,-0.6656
S,2,0.1265,-0.3506,1,0,1,1,-0.741,-0.6912
S,0,-0.2846,-0.1087,1,0,1,1,-0.7401,-0.6911
S,1,-0.266,-0.3506,1,0,0,1,1.1591,-0.6602
S,1,-0.266,-0.3506,1,0,0,0,-0.2275,-0.6828
S,0,-0.3033,0.3753,1,0,1,1,-0.7401,-0.6911
S,1,-0.322,0.1333,1,1,0,1,-0.4578,-0.6865
C,1,-0.1165,-0.3506,1,1,0,1,2.8582,-0.6326
C,1,-0.1165,-0.3506,1,1,0,1,0.166,-0.6764
C,1,-0.1165,-0.3506,1,1,0,1,0.7846,-0.6663
C,1,-0.1165,-0.3506,1,1,0,1,2.0778,-0.6453
C,1,-0.1165,-0.3506,1,1,0,1,0.2061,-0.6757
S,1,-0.322,-0.3506,2,0,0,0,1.5214,-0.6543
S,0,-0.322,-0.3506,2,0,0,1,0.0731,-0.6779
C,0,-0.1165,0.8592,1,1,1,0,-0.7411,-0.6912
C,0,-0.3594,-0.1087,1,1,0,1,1.797,-0.6499
S,0,-0.3594,-0.3506,1,1,0,1,-0.5309,-0.6877
C,1,-0.2099,-0.3506,1,1,0,1,2.4479,-0.6393
C,1,-0.2099,-0.3506,1,1,0,1,-0.3962,-0.6855
C,0,-0.2099,0.1333,1,1,1,1,-0.7081,-0.6906
C,1,-0.3033,-0.3506,1,1,0,1,-0.2789,-0.6836
C,0,-0.3033,-0.3506,1,1,1,1,-0.7081,-0.6906
C,0,-0.3407,0.1333,1,1,0,0,-0.7409,-0.6912
C,0,-0.266,1.3432,1,1,0,1,-0.741,-0.6912
C,0,-0.3594,-0.3506,1,1,0,1,-0.7055,-0.6906
S,1,3.8453,-0.3506,1,0,0,1,4.3242,-0.6087
C,0,-0.3781,-0.3506,1,1,0,1,-0.0828,-0.6804
C,0,-0.3781,-0.3506,1,1,0,1,-0.0828,-0.6804
C,1,-0.3781,-0.3506,1,1,0,1,-0.5693,-0.6884
C,0,-0.3781,-0.3506,2,1,0,1,1.6438,-0.6523
C,0,-0.2846,0.3753,1,1,0,1,-0.7401,-0.6911
C,2,7.1716,-0.3506,1,1,0,1,-0.6219,-0.6892
N,0,-0.322,0.3753,1,0,0,1,2.6259,-0.6364
C,1,-0.3407,-0.3506,2,1,0,1,-0.4123,-0.6858
C,0,-0.3407,-0.3506,2,1,0,0,-0.7409,-0.6912
C,0,-0.3033,0.8592,2,1,0,1,-0.741,-0.6912
C,0,-0.3781,-0.1087,2,1,0,1,-0.7055,-0.6906
